instruction,input,response
बौद्ध धर्म के मुख्य सिद्धांत क्या हैं?,,"सिद्धार्थ गौतम (बुद्ध) द्वारा स्थापित बौद्ध धर्म (धर्म) की मूलभूत शिक्षाएँ, नैतिक आचरण, मानसिक अनुशासन और समझदारी (ज्ञान) के माध्यम से दुःख (तकलीफ़) को समझने और उस पर क़ाबू पाने पर केंद्रित हैं। यह समझ मुख्य रूप से चार आर्य सत्य और आर्य अष्टांगिक मार्ग में समाहित है।

चार आर्य सत्य:
1. दुःख (तकलीफ़): जीवन में अनिवार्य रूप से दुःख, असंतोष और अस्थिरता शामिल है।
2. समुदय (दुःख का कारण): दुःख मोह, लालच और अज्ञानता (तृष्णा) से पैदा होता है।
3. निरोध (दुःख का ख़त्म होना): जब लालच और मोह ख़त्म हो जाते हैं, तो दुःख भी ख़त्म हो सकता है, जिससे निर्वाण प्राप्त होता है।
4. मार्ग (दुःख ख़त्म करने का रास्ता): दुःख को समाप्त करने का मार्ग आर्य अष्टांगिक मार्ग है।

आर्य अष्टांगिक मार्ग एक व्यावहारिक मार्गदर्शन है, जिसे अक्सर तीन हिस्सों में बाँटा जाता है:

ज्ञान (प्रज्ञा):
1. सम्यक दृष्टि (सही समझ): दुनिया और चार आर्य सत्यों को जैसा वे वास्तव में हैं, वैसा ही देखना।
2. सम्यक संकल्प (सही विचार): त्याग, सद्भाव और अहिंसा के विचार।

नैतिक आचरण (शील):
3. सम्यक वाचा (सही वाणी): झूठ बोलने, फूट डालने वाली बातें, कड़े शब्द और बेकार की बकवास से बचना।
4. सम्यक कर्मान्त (सही कर्म): शारीरिक चोट पहुँचाने, चोरी और यौन दुराचार से दूर रहना।
5. सम्यक आजीविका (सही जीवनयापन): बिना किसी को नुकसान पहुँचाए रोज़ी कमाना।

मानसिक अनुशासन (समाधि):
6. सम्यक व्यायाम (सही प्रयास): अच्छे मानसिक भावों को विकसित करना और बुरे भावों को छोड़ देना।
7. सम्यक स्मृति (सही याददाश्त/सजगता): शरीर, भावनाओं, मन और मानसिक चीज़ों के प्रति जागरूकता बनाए रखना।
8. सम्यक समाधि (सही एकाग्रता): केंद्रित ध्यान (मेडिटेशन) विकसित करना जो चेतना की उच्च अवस्थाओं की ओर ले जाता है।"
जीवित जीवों के द्रव्यमान का लगभग 99% हिस्सा कौन से पाँच तत्व बनाते हैं?,"जीवित जीव मुख्य रूप से छह अधातु तत्वों से बने होते हैं: ऑक्सीजन, कार्बन, हाइड्रोजन, नाइट्रोजन, कैल्शियम, और फ़ॉस्फ़ोरस। हालाँकि, सबसे प्रचुर मात्रा में पाए जाने वाले चार तत्व—ऑक्सीजन, कार्बन, हाइड्रोजन, और नाइट्रोजन—अधिकांश जानवरों और पौधों के शरीर के वज़न का लगभग 96% हिस्सा होते हैं। जब कैल्शियम को शामिल किया जाता है, तो ये पाँच तत्व (ऑक्सीजन, कार्बन, हाइड्रोजन, नाइट्रोजन, और कैल्शियम) जीवित जीवों के द्रव्यमान का लगभग 99% हिस्सा बनाते हैं।","ऑक्सीजन, कार्बन, हाइड्रोजन, नाइट्रोजन, और कैल्शियम"
"वार्डनक्लिफ टॉवर का मकसद क्या था, और उस ढाँचे को आखिर में कब गिराया गया?","वार्डनक्लिफ टॉवर, जिसे टेस्ला टॉवर के नाम से भी जाना जाता है, एक शुरुआती प्रायोगिक बेतार संचार स्टेशन था। इसे निकोला टेस्ला ने न्यूयॉर्क के लॉन्ग आइलैंड के उत्तरी किनारे पर डिज़ाइन किया और बनाया था। निर्माण 1901 में शुरू हुआ। टेस्ला का इरादा था कि यह टॉवर 'विश्व बेतार सिस्टम' के लिए एक नमूना बने, जिसका उपयोग अटलांटिक पार टेलीफ़ोन, प्रसारण और बेतार बिजली संचार के प्रदर्शन के लिए किया जा सके। हालाँकि, गंभीर पैसे की दिक्कतों और निवेशकों के बीच मतभेद के कारण, निर्माण लगभग 1906 के आसपास रुक गया। इस ढाँचे को आखिर में 1917 में कबाड़ धातु के लिए गिरा दिया गया।","वार्डनक्लिफ टॉवर का मकसद 'विश्व बेतार सिस्टम' के लिए एक नमूना बनना था, जिसका उपयोग अटलांटिक पार टेलीफ़ोन, प्रसारण और बेतार बिजली संचार के प्रदर्शन के लिए किया जा सके। इस ढाँचे को 1917 में गिरा दिया गया था।"
उस प्रक्रिया को समझाइए जिसकी वजह से दिन में आसमान नीला दिखाई देता है।,,"आसमान का नीला रंग 'रेले प्रकीर्णन' नाम की एक प्रक्रिया की वजह से होता है। सूरज की रोशनी जब धरती के वातावरण तक पहुँचती है, तो गैस के बहुत छोटे कणों की वजह से यह सभी दिशाओं में बिखर जाती है। क्योंकि नीली रोशनी कम लंबाई की छोटी लहरों के रूप में चलती है, इसलिए यह दूसरे रंगों (जैसे लाल या पीला) के मुक़ाबले ज़्यादा दूर तक फैल जाती है।"
ब्लॉकचेन की मूलभूत अवधारणा और इसकी शुरुआत के बारे में समझाएँ।,"मूल रूप से, इसे 1991 में स्टुअर्ट हेबर और डब्ल्यू. स्कॉट स्टोरनेटा ने डिजिटल दस्तावेज़ों पर समय मुहर लगाने के लिए प्रस्तावित किया था; जिसे 2008 में सतोशी नाकामोटो द्वारा बिटकॉइन के निर्माण के साथ प्रसिद्धि मिली; यह मूलभूत रूप से एक वितरित खाता-बही तकनीक (डीएलटी) है; यह लेनदेन के डेटा के 'ब्लॉकों' को जोड़ने के लिए सांकेतिक हैशिंग का उपयोग करता है; एक बार दर्ज होने के बाद डेटा अटल हो जाता है; नए ब्लॉकों को मान्य करने के लिए इसे सहमति तंत्रों (जैसे कार्य का प्रमाण या हिस्सेदारी का प्रमाण) की आवश्यकता होती है।","ब्लॉकचेन एक प्रकार की वितरित खाता-बही तकनीक (डीएलटी) है जो डेटा, आमतौर पर लेनदेनों को, 'ब्लॉक' नामक जुड़ी हुई इकाइयों में दर्ज करती है। प्रत्येक ब्लॉक को पिछले ब्लॉक से सांकेतिक रूप से हैश किया जाता है, जिससे दर्ज किया गया डेटा अटल और पारदर्शी बन जाता है। हालांकि यह अवधारणा मूल रूप से 1991 में हेबर और स्टोरनेटा द्वारा सुरक्षित डिजिटल समय मुहर के लिए प्रस्तावित की गई थी, इसे 2008 में सतोशी नाकामोटो द्वारा क्रिप्टोकरेंसी बिटकॉइन के लिए मूलभूत तकनीक के रूप में लोकप्रिय बनाया गया। नए ब्लॉक केवल तभी श्रृंखला में जोड़े जाते हैं जब कार्य का प्रमाण जैसे सहमति तंत्र डेटा को मान्य कर देता है।"
"दिए गए पाठ का उपयोग करते हुए, अल्बर्ट आइंस्टीन के जन्म की तारीख और जगह, म्यूनिख में उनके स्कूल का नाम, और वह किन विषयों में बहुत अच्छे थे, यह बताएं।","अल्बर्ट आइंस्टीन का जन्म 14 मार्च, 1879 को जर्मनी के उल्म शहर में हुआ था। छह हफ्ते बाद, उनका परिवार म्यूनिख चला गया, जहाँ उनके पिता, हर्मन आइंस्टीन, और उनके चाचा, जैकब आइंस्टीन, ने एक बिजली इंजीनियरिंग कंपनी शुरू की। अल्बर्ट ने म्यूनिख के ल्यूटपोल्ड जिम्नेजियम में पढ़ाई की। हालांकि उन्हें अक्सर एक कमज़ोर छात्र माना जाता था, लेकिन वह कम उम्र से ही गणित और भौतिकी में बहुत अच्छे थे। वह अक्सर अपनी स्कूली शिक्षा से नाखुश रहते थे और कड़े अनुशासन को दम घोंटने वाला पाते थे। 1895 में, 16 साल की उम्र में, आइंस्टीन ज्यूरिख के स्विस फ़ेडरल पॉलिटेक्निक स्कूल की प्रवेश परीक्षा में फेल हो गए, लेकिन उन्होंने अंततः दोबारा आवेदन किया और 1896 में उन्हें स्वीकार कर लिया गया।","अल्बर्ट आइंस्टीन का जन्म 14 मार्च, 1879 को जर्मनी के उल्म शहर में हुआ था। उन्होंने म्यूनिख के ल्यूटपोल्ड जिम्नेजियम में पढ़ाई की। वह कम उम्र से ही गणित और भौतिकी में बहुत अच्छे थे।"
ऑकम के उस्तरे का सिद्धांत समझाओ।,,"ऑकम का उस्तरा एक दार्शनिक सिद्धांत है जो यह बताता है कि मुकाबला कर रहे उन अनुमानों/परिकल्पनाओं में से, जो बराबर रूप से सही भविष्यवाणी करते हैं, उसे चुना जाना चाहिए जिसमें सबसे कम धारणाएं/मान्यताएं हों। इसे अक्सर संक्षेप में यूँ कहा जाता है: 'सबसे आसान समझ ही आमतौर पर सबसे अच्छी होती है।' यह खुद में तर्क या सबूत का कोई नियम नहीं है, बल्कि यह एक दिशा-निर्देश है जिसका उपयोग अनावश्यक जटिलता को छाँटने के लिए किया जाता है। इसका नाम 14वीं सदी के एक फ़्रांसिस्कन भिक्षु, विलियम ऑफ ऑकम के नाम पर रखा गया है।"
फ़्रेंच प्रेस का इस्तेमाल करके कॉफ़ी बनाने का सबसे बेहतरीन तरीका क्या है?,,"फ़्रेंच प्रेस का उपयोग करके सबसे साफ़ और मज़ेदार स्वाद वाली कॉफ़ी बनाने के लिए, इन कदमों का पालन करें:

1. पानी गरम करें: ताज़ा पानी उबालें, फिर उसे 30 से 60 सेकंड के लिए ठंडा होने दें (तापमान 195°F से 205°F / 90°C से 96°C तक रखें)।
2. बीन्स पीसें: बीन्स को मोटा और एक समान पीसें, लगभग समुद्री नमक जैसा दानेदार। बारीक पिसी हुई कॉफ़ी जाली वाली छन्नी से निकल जाएगी, जिससे कॉफ़ी में दाने आएंगे।
3. कॉफ़ी डालें: अपनी पिसी हुई कॉफ़ी को बर्तन (कैराफ़) में डालें। सामान्य अनुपात 1 हिस्सा कॉफ़ी और 15 हिस्सा पानी का होता है (लगभग 2 बड़े चम्मच 6 औंस पानी के लिए)।
4. कॉफ़ी फुलाएँ: पिसी हुई कॉफ़ी के ऊपर, कॉफ़ी की मात्रा से दोगुना पानी डालें। 30 सेकंड इंतज़ार करें। इससे कार्बन डाइऑक्साइड (सीओ2) बाहर निकल जाती है, और कॉफ़ी का रस समान रूप से निकलता है।
5. प्रेस भरें: बचा हुआ गरम पानी धीरे से कॉफ़ी के ऊपर डालें।
6. भिगोएँ (दम दें): ढक्कन को प्रेस पर लगा दें लेकिन उसे दबाएँ नहीं। कॉफ़ी को कम से कम 4 मिनट तक भीगने दें।
7. धीरे से दबाएँ: प्लंजर को धीरे-धीरे और लगातार नीचे दबाएँ, जिससे पिसी हुई कॉफ़ी नीचे चली जाए। इस प्रक्रिया में लगभग 30 सेकंड लगने चाहिए।
8. तुरंत परोसें: दबाने के बाद कॉफ़ी को बर्तन में पड़ा न रहने दें, क्योंकि इससे वह और ज़्यादा रस निकालती रहेगी और कड़वी हो जाएगी। सारी कॉफ़ी तुरंत मगों में डाल दें।"
"संयुक्त राज्य अमेरिका की चार मुख्य पर्वत शृंखलाओं के नाम बताएँ, जिन्हें प्रशांत तट से पूरब की ओर भौगोलिक क्रम में रखा गया है।",,"तटीय शृंखलाएँ, सिएरा नेवाडा / कैस्केड्स, रॉकी पर्वत, अपलाचियन पर्वत"
स्मार्ट लक्ष्यों (SMART Lakshayon) को निर्धारित करने के घटकों को समझाएँ और एक संक्षिप्त उदाहरण दें जो उन सभी पाँच मानदंडों को पूरा करता हो।,,"स्मार्ट (SMART) एक संक्षिप्त नाम है जिसका मतलब है विशिष्ट (Specific), मापने लायक़ (Measurable), प्राप्त करने योग्य (Achievable), प्रासंगिक (Relevant), और समय-बद्ध (Time-bound)। यह एक ऐसा ढाँचा है जिसे लोगों को स्पष्ट, केंद्रित और हासिल किए जा सकने वाले उद्देश्य निर्धारित करने में मदद करने के लिए बनाया गया है।

**एस - विशिष्ट (Specific):** लक्ष्य साफ़ और स्पष्ट होना चाहिए। इसे पाँच 'क' (W) सवालों का जवाब देना चाहिए: कौन शामिल है? मैं क्या हासिल करना चाहता हूँ? यह कहाँ किया जाएगा? यह कब किया जाएगा? मैं यह क्यों कर रहा हूँ?

**एम - मापने लायक़ (Measurable):** प्रगति को मापने और यह तय करने के लिए कि लक्ष्य कब पूरा हुआ है, ठोस मापदंड होने चाहिए। यह इन सवालों का जवाब देता है: कितना? कितने? मुझे कैसे पता चलेगा कि यह पूरा हो गया है?

**ए - प्राप्त करने योग्य (Achievable या Attainable):** उपलब्ध साधनों और समय को देखते हुए लक्ष्य वास्तविक और पहुँच में होना चाहिए। क्या यह लक्ष्य उस व्यक्ति के लिए उचित है जो इसे हासिल करने की कोशिश कर रहा है?

**आर - प्रासंगिक (Relevant):** लक्ष्य को व्यापक संस्थागत या व्यक्तिगत उद्देश्यों के साथ मेल खाना चाहिए। क्या यह लक्ष्य ज़रूरी है, और क्या इसे आगे बढ़ाने का यह सही समय है?

**टी - समय-बद्ध (Time-bound):** लक्ष्य की एक निर्धारित समय-सीमा होनी चाहिए, जिसमें शुरुआत की तारीख़ और लक्ष्य पूरा करने की तारीख़ शामिल हो। यह ज़रूरी तत्परता पैदा करता है और कामों को अनिश्चित काल तक भटकने से रोकता है।

---

**स्मार्ट लक्ष्य का उदाहरण:**

""मैं अगले वित्तीय तिमाही (टी) के अंत तक पूरे ड्राफ़्ट को पूरा करना सुनिश्चित करने के लिए हर हफ़्ते पाँच विषय मॉड्यूल (एम) ख़त्म करके नया आंतरिक प्रशिक्षण मैनुअल (एस) पूरा करूँगा। यह हमारे 25 नए कर्मचारियों को सफलतापूर्वक शामिल करने के लिए ज़रूरी है (आर), और मैंने इस लक्ष्य को प्राप्त करने योग्य बनाने के लिए हर हफ़्ते 10 समर्पित घंटे अलग रखे हैं (ए)।"""
