csv_name,count_zeros,count_ones,total_length
Gemma-3-1B-IT-DA-SynthDolly-E1-S73-PREFT_DA_translated_eval_detailed.csv,373,67,440
Gemma-3-1B-IT-DA-SynthDolly-E1-S73_DA_translated_eval_detailed.csv,294,146,440
Gemma-3-1B-IT-DA-SynthDolly-E3-S73-PREFT_DA_translated_eval_detailed.csv,368,72,440
Gemma-3-1B-IT-DA-SynthDolly-E3-S73_DA_translated_eval_detailed.csv,227,213,440
Gemma-3-1B-IT-DA-SynthDolly-E5-S73-PREFT_DA_translated_eval_detailed.csv,360,80,440
Gemma-3-1B-IT-DA-SynthDolly-E5-S73_DA_translated_eval_detailed.csv,230,210,440
Gemma-3-1B-IT-EL-SynthDolly-E1-S73-PREFT_EL_translated_eval_detailed.csv,370,70,440
Gemma-3-1B-IT-EL-SynthDolly-E1-S73_EL_translated_eval_detailed.csv,305,135,440
Gemma-3-1B-IT-EL-SynthDolly-E3-S73-PREFT_EL_translated_eval_detailed.csv,374,66,440
Gemma-3-1B-IT-EL-SynthDolly-E3-S73_EL_translated_eval_detailed.csv,265,175,440
Gemma-3-1B-IT-EL-SynthDolly-E5-S73-PREFT_EL_translated_eval_detailed.csv,371,69,440
Gemma-3-1B-IT-EL-SynthDolly-E5-S73_EL_translated_eval_detailed.csv,244,196,440
Gemma-3-1B-IT-ES-SynthDolly-E1-S73-PREFT_ES_translated_eval_detailed.csv,377,63,440
Gemma-3-1B-IT-ES-SynthDolly-E1-S73_ES_translated_eval_detailed.csv,248,192,440
Gemma-3-1B-IT-ES-SynthDolly-E3-S73-PREFT_ES_translated_eval_detailed.csv,374,66,440
Gemma-3-1B-IT-ES-SynthDolly-E3-S73_ES_translated_eval_detailed.csv,192,248,440
Gemma-3-1B-IT-GA-SynthDolly-E1-S73-PREFT_GA_translated_eval_detailed.csv,401,39,440
Gemma-3-1B-IT-GA-SynthDolly-E1-S73_GA_translated_eval_detailed.csv,417,23,440
Gemma-3-1B-IT-GA-SynthDolly-E3-S73-PREFT_GA_translated_eval_detailed.csv,396,44,440
Gemma-3-1B-IT-GA-SynthDolly-E3-S73_GA_translated_eval_detailed.csv,419,21,440
Gemma-3-1B-IT-GA-SynthDolly-E5-S73-PREFT_GA_translated_eval_detailed.csv,397,43,440
Gemma-3-1B-IT-GA-SynthDolly-E5-S73_GA_translated_eval_detailed.csv,408,32,440
Gemma-3-1B-IT-HI-SynthDolly-E1-S73-PREFT_HI_translated_eval_detailed.csv,362,78,440
Gemma-3-1B-IT-HI-SynthDolly-E1-S73_HI_translated_eval_detailed.csv,249,191,440
Gemma-3-1B-IT-HI-SynthDolly-E3-S73-PREFT_HI_translated_eval_detailed.csv,367,73,440
Gemma-3-1B-IT-HI-SynthDolly-E3-S73_HI_translated_eval_detailed.csv,249,191,440
Gemma-3-1B-IT-PT-SynthDolly-E1-S73-PREFT_PT_translated_eval_detailed.csv,353,87,440
Gemma-3-1B-IT-PT-SynthDolly-E1-S73_PT_translated_eval_detailed.csv,233,207,440
Gemma-3-1B-IT-PT-SynthDolly-E3-S73-PREFT_PT_translated_eval_detailed.csv,350,90,440
Gemma-3-1B-IT-PT-SynthDolly-E3-S73_PT_translated_eval_detailed.csv,210,230,440
Gemma-3-1B-IT-PT-SynthDolly-E5-S73-PREFT_PT_translated_eval_detailed.csv,359,81,440
Gemma-3-1B-IT-PT-SynthDolly-E5-S73_PT_translated_eval_detailed.csv,189,251,440
Gemma-3-1B-IT-TL-SynthDolly-E1-S73-PREFT_TL_translated_eval_detailed.csv,361,79,440
Gemma-3-1B-IT-TL-SynthDolly-E1-S73_TL_translated_eval_detailed.csv,296,144,440
Gemma-3-1B-IT-TL-SynthDolly-E3-S73-PREFT_TL_translated_eval_detailed.csv,349,91,440
Gemma-3-1B-IT-TL-SynthDolly-E3-S73_TL_translated_eval_detailed.csv,252,188,440
Gemma-3-1B-IT-ZH-SynthDolly-E1-S73-PREFT_ZH_translated_eval_detailed.csv,375,65,440
Gemma-3-1B-IT-ZH-SynthDolly-E1-S73_ZH_translated_eval_detailed.csv,267,173,440
Gemma-3-1B-IT-ZH-SynthDolly-E3-S73-PREFT_ZH_translated_eval_detailed.csv,386,54,440
Gemma-3-1B-IT-ZH-SynthDolly-E3-S73_ZH_translated_eval_detailed.csv,230,210,440
Gemma-3-1B-IT-ZH-SynthDolly-E5-S73-PREFT_ZH_translated_eval_detailed.csv,370,70,440
Gemma-3-1B-IT-ZH-SynthDolly-E5-S73_ZH_translated_eval_detailed.csv,227,213,440
Gemma-3-4B-IT-DA-SynthDolly-E1-S73-PREFT_DA_translated_eval_detailed.csv,388,52,440
Gemma-3-4B-IT-DA-SynthDolly-E1-S73_DA_translated_eval_detailed.csv,361,79,440
Gemma-3-4B-IT-DA-SynthDolly-E3-S73-PREFT_DA_translated_eval_detailed.csv,383,57,440
Gemma-3-4B-IT-DA-SynthDolly-E3-S73_DA_translated_eval_detailed.csv,272,168,440
Gemma-3-4B-IT-EL-SynthDolly-E1-S73-PREFT_EL_translated_eval_detailed.csv,383,57,440
Gemma-3-4B-IT-EL-SynthDolly-E1-S73_EL_translated_eval_detailed.csv,360,80,440
Gemma-3-4B-IT-EL-SynthDolly-E3-S73-PREFT_EL_translated_eval_detailed.csv,381,59,440
Gemma-3-4B-IT-EL-SynthDolly-E3-S73_EL_translated_eval_detailed.csv,292,148,440
Gemma-3-4B-IT-ES-SynthDolly-E1-S73-PREFT_ES_translated_eval_detailed.csv,376,64,440
Gemma-3-4B-IT-ES-SynthDolly-E1-S73_ES_translated_eval_detailed.csv,305,135,440
